id,x,y,village,locality
151,34.21144444,13.15536111,Dumbus,Al Dindir
152,34.201,13.16761111,Al Simaih,Al Dindir
153,34.19458333,13.18102778,Khur Alsilaig,Al Dindir
154,34.18933333,13.20038889,Dar Alsiroor,Al Dindir
155,34.16663889,13.22930556,Om Damoor,Al Dindir
156,34.16177778,13.24788889,Om Tumok,Al Dindir
157,34.18166667,13.25180556,Hilat Jadain,Al Dindir
158,34.19880556,13.24180556,Gindeel,Al Dindir
159,34.18036111,13.27927778,Al Rimaila,Al Dindir
160,34.22636111,13.24955556,Hilat Fur,Al Dindir
161,34.23241667,13.24066667,Wad Dafaalla,Al Dindir
162,34.16044444,13.27966667,Al Salam,Al Dindir
163,34.13847222,13.28644444,Ora,Al Dindir
164,34.11452778,13.31969444,Wad Masri,Al Dindir
165,34.11675,13.2965,Hilat Adem,Al Dindir
166,34.12108333,13.30936111,Arab Wad Nasri,Al Dindir
167,34.37686111,13.22930556,Wad Al Igaili,Al Dindir
168,34.38147222,13.30711111,Om Franeeb,Al Dindir
169,34.38016667,13.28183333,Al Gooz,Al Dindir
170,34.35741667,13.32161111,Mahala,Al Dindir
171,34.328,13.31044444,Wad Al Hindi,Al Dindir
172,34.43825,13.30783333,Albutana,Al Dindir
173,34.44702778,13.32336111,Um Adara,Al Dindir
174,34.49816667,13.29575,Um Dahab,Al Dindir
175,34.59736111,13.20230556,Kogiala,Al Dindir
176,34.543,13.25569444,Shameyia,Al Dindir
177,34.52988889,13.25613889,Haj Tahir,Al Dindir
178,34.73902778,13.15480556,Abboda,Al Dindir
179,34.86330556,13.02666667,Um Bagaa,Al Dindir
180,34.26191667,13.35302778,Alatshan ,Al Dindir
181,34.35547222,13.33616667,Wad Gateet,Al Dindir
182,34.43388889,13.38091667,Alhaseera,Al Dindir
183,34.38980556,13.37166667,Beer Alhassera,Al Dindir
184,34.33933333,13.28225,Babinga,Al Dindir
185,34.36241667,13.34880556,Umshagara,Al Dindir
186,34.42238889,13.31963889,Mabrooka,Al Dindir
187,34.34113889,13.48677778,Alagayia Saeed,Al Dindir
188,34.30722222,13.50577778,Raweena,Al Dindir
189,34.28894444,13.48672222,Alegda Wad Alnewairee,Al Dindir
190,34.32108333,13.48138889,Um Darga (Wad Dafooa),Al Dindir
191,34.29588889,13.45211111,Alhajaj,Al Dindir
192,34.24841667,13.43411111,Abu Maseera,Al Dindir
193,34.27077778,13.49855556,Alazaza Wad Alniwairi,Al Dindir
194,34.23725,13.47019444,Alkumur,Al Dindir
195,34.22302778,13.44577778,45 Awad Alseed,Al Dindir
196,34.21152778,13.41588889,Almojamma,Al Dindir
197,34.02102778,13.53958333,Um Aidan,Al Dindir
198,34.00172222,13.54913889,Anja Fas,Al Dindir
199,34.01055556,13.55808333,Hillat Sulaiman,Al Dindir
200,34.00655556,13.50411111,Alhamadabi,Al Dindir
201,34.01963889,13.45636111,Almushrafa,Al Dindir
202,34.00733333,13.464,Almashrama,Al Dindir
203,34.0255,13.43413889,Baskeeli,Al Dindir
204,34.07105556,13.39183333,Hidayia,Al Dindir
205,34.03352778,13.41355556,Wad Alawad,Al Dindir
206,34.056,13.40997222,Alrawda,Al Dindir
207,34.07736111,13.41680556,Mahbooba,Al Dindir
208,34.08388889,13.37411111,Mabrooka Wad Abu beelo,Al Dindir
209,34.09725,13.35869444,Um hantoor,Al Dindir
210,34.11758333,13.34972222,Hiwaiwa,Al Dindir
211,34.11302778,13.3425,Hiyada,Al Dindir
212,34.19547222,13.33208333,Wad Dayan,Al Dindir
213,34.19163889,13.31311111,Wad Ragma,Al Dindir
214,33.91225,13.50141667,Aljemaiza,Al Dindir
215,33.88605556,13.54186111,Salama,Al Dindir
216,33.91180556,13.52775,Sharrafat Abu Alneyia,Al Dindir
217,33.94383333,13.56225,Alamara 7,Al Dindir
218,33.93644444,13.55783333,7 Alageen,Al Dindir
219,33.94469444,13.56866667,Alozozab,Al Dindir
220,33.98722222,13.54963889,Wad Alhangool,Al Dindir
221,33.96875,13.56,Alshehaita,Al Dindir
222,33.98141667,13.55416667,Alfrooda,Al Dindir
223,33.98794444,13.56508333,Alaradeeb,Al Dindir
224,33.98925,13.53958333,Wad Alleim,Al Dindir
225,33.98863889,13.5145,Jelaidat,Al Dindir
226,33.92572222,13.46066667,Hillat Abd Alraheem,Al Dindir
227,33.93436111,13.42516667,Alraba,Al Dindir
228,33.94069444,13.419,Almatar,Al Dindir
229,33.91327778,13.41958333,Alremaila Garb,Al Dindir
230,33.95011111,13.49527778,Mayo,Al Dindir
231,33.98411111,13.49544444,Tayba,Al Dindir
232,33.98630556,13.488,Alkhirwaa,Al Dindir
233,33.99025,13.46319444,Abu Ashoash,Al Dindir
234,33.98527778,13.443,Alflateen,Al Dindir
235,33.98977778,13.43991667,Wad Moneer,Al Dindir
236,34.01372222,13.43572222,Algilla,Al Dindir
237,34.02063889,13.40969444,Koo Alrawaba,Al Dindir
238,34.00369444,13.338,Beer Alhimda,Al Dindir
239,33.98661111,13.37541667,Goaz Abu Omaira,Al Dindir
240,34.01691667,13.38866667,Bagras,Al Dindir
241,34.06294444,13.37438889,Tabat Aljaafari,Al Dindir
242,34.06655556,13.36333333,Arab Alseraifa,Al Dindir
243,34.07102778,13.35530556,Alseriafa,Al Dindir
244,34.79008333,12.82597222,Um Bagara Garb,Al Dindir
245,34.74402778,12.84188889,Um Sagit Garb,Al Dindir
246,34.70725,12.85677778,Allibang,Al Dindir
247,34.68633333,12.86638889,Girban,Al Dindir
248,34.65,12.8735,Amara Alshiekh Musa,Al Dindir
249,34.60794444,12.91713889,Alshabaana,Al Dindir
250,34.57672222,12.90694444,Alshareef Mohamadain,Al Dindir
251,34.50625,12.91669444,Dorraba,Al Dindir
252,34.38866667,12.84111111,Aldaliaba,AlSooki
253,34.38963889,12.845,Aldaliaba Sharg,AlSooki
254,34.31033333,12.92583333,Almanaofali,AlSooki
255,34.35341667,12.86638889,Shara Shara,AlSooki
256,34.10577778,12.86166667,Wad Aies ,AlSooki
257,34.12308333,12.78933333,Alazara Alrawaj,AlSooki
258,34.14547222,12.77569444,Tayba,AlSooki
259,34.13688889,12.77933333,Alwa,AlSooki
260,34.11288889,12.79544444,Alazara Nasir,AlSooki
261,34.11530556,12.80105556,Fareeg Ali Abu Shanab,AlSooki
262,34.09119444,12.81933333,Wad Baheeja,AlSooki
263,34.10311111,12.81172222,Altartara (Alkasalo),AlSooki
264,34.08766667,12.82647222,Kabsoor,AlSooki
265,34.07580556,12.83841667,Medaw Janoob,AlSooki
266,34.07866667,12.83405556,Tama Alzeraaia,AlSooki
267,34.07186111,12.83561111,Medaw Shamal ,AlSooki
268,34.06972222,12.85997222,Aljimiaza,AlSooki
269,34.04538889,12.885,Zomorka,AlSooki
270,34.07005556,12.85008333,Mabrooka Sharig,AlSooki
271,34.01622222,12.87713889,Aldibaiba,AlSooki
272,34.02380556,12.89722222,Dawontay,AlSooki
273,33.97208333,13.06066667,Algubba,AlSooki
274,33.89591667,13.07186111,Aljazaer Alhalaween,AlSooki
275,33.97722222,13.03986111,Farhana,AlSooki
276,33.98213889,13.03083333,Babaso Meema,AlSooki
277,34.04486111,13.07172222,Um  Ganateer Aldahara,AlSooki
278,34.00330556,13.00322222,Algitain Bardaras,AlSooki
279,34.06583333,12.99238889,Albasabeer,AlSooki
280,33.99938889,12.98741667,Jandala,AlSooki
281,34.02480556,12.96016667,Hillat Hassan,AlSooki
282,34.00375,13.0005,Alamara,AlSooki
283,33.99783333,13.02563889,Banaso Alsarana,AlSooki
284,33.99033333,13.02858333,Um Ganateer Albahar,AlSooki
285,33.99938889,12.95575,Um Sonot Wasat,AlSooki
286,34.11130556,12.86508333,Nogli,AlSooki
287,34.09852778,12.90213889,Alrayat,AlSooki
288,33.89227778,13.31983333,Alsooki,AlSooki
289,33.79263889,13.44263889,Alkhwafeer,AlSooki
290,33.79702778,13.43419444,Alneela,AlSooki
291,33.82647222,13.45058333,Aldibal,AlSooki
292,33.85108333,13.44783333,tambre,AlSooki
293,33.87311111,13.49536111,elmigoma,AlSooki
294,33.87375,13.49038889,elnhod,AlSooki
295,33.85861111,13.46586111,elgzeaeraboshnab,AlSooki
296,33.95952778,13.32561111,elaziza,AlSooki
297,33.98669444,13.30027778,beer abdelkreem,AlSooki
298,33.96311111,13.33344444,stamowra,AlSooki
299,33.78444444,13.41247222,um aslnga,AlSooki
300,33.82686111,13.38680556,mnahza hsan hmad,AlSooki
301,33.80813889,13.38827778,mnahza mhmod,AlSooki
302,33.82180556,13.37441667,kilo sta,AlSooki
303,33.84,13.37733333,niyala elmtma,AlSooki
304,33.86844444,13.41641667,fthelrhman,AlSooki
305,33.91425,13.37008333,elabasiya,AlSooki
306,33.88830556,13.40230556,bahtelreda,AlSooki
307,33.92811111,13.37483333,sbah shashina,AlSooki
308,33.92405556,13.36705556,beer hseen mbrooka,AlSooki
309,33.91297222,13.37661111,elmhmeeh gnob odmahlh,AlSooki
310,33.89655556,13.2685,rwnga,AlSooki
311,33.91072222,13.26822222,eltekina bgii,AlSooki
312,33.91713889,13.26538889,shashina,AlSooki
313,33.92536111,13.26055556,mona,AlSooki
314,33.93347222,13.25336111,allah maana,AlSooki
315,33.95675,13.23458333,abo gara,AlSooki
316,34.02327778,13.23852778,elmgmoah umdahb,AlSooki
317,33.63758333,13.21263889,wd salmaan,AlSooki
318,33.97,13.20691667,abo elbanat ,AlSooki
319,33.96119444,13.18894444,heelt saaid,AlSooki
320,33.95927778,13.16533333,meena elmak,AlSooki
321,33.96852778,13.16241667,wd elfowr,AlSooki
322,34.04097222,13.14761111,beer mhmod nowr,AlSooki
323,34.04580556,13.17388889,wd elmamoon,AlSooki
324,34.0655,13.18833333,gahor aboshook,AlSooki
325,34.05183333,13.19202778,elneipheedia kabri tmania,AlSooki
326,33.99236111,13.09683333,elgzaer elaglien,AlSooki
327,33.99,13.11302778,wd elaies,AlSooki
328,33.98894444,13.13305556,wd elreif,AlSooki
329,33.98644444,13.14225,hlat yoosif,AlSooki
330,33.86238889,13.31733333,treeara elkoofa,AlSooki
331,33.8615,13.31016667,kwoa elnahl,AlSooki
332,33.85858333,13.30586111,triara ebrahiim,AlSooki
333,33.83283333,13.32713889,triara mdani,AlSooki
334,33.9365,13.30680556,triara elmorafa,AlSooki
335,33.79458333,13.33577778,eltowbaat,AlSooki
336,33.81066667,13.32366667,elshliha mohmed elameen,AlSooki
337,33.79866667,13.335,hantowb,AlSooki
338,33.78813889,13.33969444,elbosata,AlSooki
